Geography,TotalHouseholds,AverageHouseholdSize,FamilyHouseholds_Percent,HighSchool_or_Higher_Percent,RESIDENCE_1YEARSameHouse_Percent,DrugReports
"Tioga County, Pennsylvania",40564,2.3,60.9,85.7,81.5,6
"Todd County, Kentucky",3030,2.5,68.1,71.7,85.4,4
"Trigg County, Kentucky",3530,2.63,68.8,73,90.5,6
"Trimble County, Kentucky",2860,2.81,69.9,73.9,91.6,7
"Trumbull County, Ohio",18140,2.43,68,76.6,87.3,292
"Tucker County, West Virginia",2460,2.37,63,74.9,76.4,1
"Tuscarawas County, Ohio",4899,2.42,70.4,79.4,91.6,57
"Tyler County, West Virginia",15302,2.26,65.2,77.8,89,27
"Union County, Kentucky",9755,2.36,59.5,78.4,93.3,0
"Union County, Ohio",13296,2.29,66.8,87.5,88.1,68
"Union County, Pennsylvania",4877,2.83,61.8,80.9,93.6,9
"Upshur County, West Virginia",27740,2.44,68.4,84.1,87.9,95
"Van Wert County, Ohio",11634,2.47,72.3,82.2,88.8,69
"Venango County, Pennsylvania",19164,2.64,70.9,85.2,87.6,54
"Vinton County, Ohio",82501,2.31,61.9,85.9,87.1,40
"Virginia Beach city, Virginia",6527,2.4,65,79.4,88.3,195
"Warren County, Kentucky",8711,2.5,75.2,66.4,89.7,61
"Warren County, Ohio",14740,2.43,71.3,74.9,87.6,274
"Warren County, Pennsylvania",8338,2.67,65.8,59.6,93.3,77
"Warren County, Virginia",22744,2.42,66.1,86.4,88.4,187
"Washington County, Kentucky",13997,2.32,67.1,85.2,89.8,16
"Washington County, Ohio",10932,2.42,69.5,79,87.9,120
"Washington County, Pennsylvania",25344,2.41,63.2,79.1,86.8,260
"Washington County, Virginia",11308,2.41,68.2,86.4,89.6,117
"Wayne County, Kentucky",10936,2.45,68.5,69.5,87.5,73
"Wayne County, Ohio",35073,2.42,53.6,87.2,78.5,162
"Wayne County, Pennsylvania",5594,2.4,70.1,75.7,88.8,37
"Wayne County, West Virginia",7068,2.45,57.8,84.1,91.7,21
"Waynesboro city, Virginia",10304,2.53,74.4,79.9,91.9,7
"Webster County, Kentucky",18850,2.27,60.9,89.1,87.6,14
"Webster County, West Virginia",3516,2.18,62.9,79.9,91.4,0
"Westmoreland County, Pennsylvania",2591,2.82,64.6,87.1,92.2,498
"Westmoreland County, Virginia",3812,2.18,70.9,79,91.6,16
"Wetzel County, West Virginia",12850,2.4,70.1,82.5,88.4,10
"Whitley County, Kentucky",20975,2.6,75.9,88.9,93,313
"Williams County, Ohio",31196,2.37,67.4,78.4,86.1,1
"Williamsburg city, Virginia",11319,2.36,67.9,81.1,88,1
"Winchester city, Virginia",4213,2.49,69.4,79.5,91.8,72
"Wirt County, West Virginia",6015,2.49,66.6,76.6,87.6,1
"Wise County, Virginia",5075,2.47,63,75.7,87.4,303
"Wolfe County, Kentucky",6579,2.46,69.7,83.4,90.6,18
"Wood County, Ohio",3132,2.28,66.2,81.5,90.9,120
"Wood County, West Virginia",3792,2.44,68.2,82.8,90.6,89
"Woodford County, Kentucky",9291,2.42,66.7,79.6,88.3,53
"Wyandot County, Ohio",16751,2.55,70.2,78.1,90.7,11
"Wyoming County, Pennsylvania",4116,2.2,71.1,69.1,88.9,39
"Wyoming County, West Virginia",6897,2.42,68.5,82.5,90.2,6
"Wythe County, Virginia",2364,2.43,71.8,84,88.1,140
"York County, Pennsylvania",36222,2.37,66.1,86.6,85.3,503
"York County, Virginia",9126,2.63,71.9,72.7,92.3,22
